question,features,discernatron_reliable,classifier,accuracy
"If you searched for '...', would this article be a good result?","survey, page info, normalized pagesize, and normalized pageviews",FALSE,C5.0,0.6592
"If you searched for '...', would this article be a good result?","survey, page info, standardized log10-pagesize, and standardized log10-pageviews",FALSE,C5.0,0.6156
"If you searched for '...', would this article be a good result?","survey, page info, normalized log10-pagesize, and normalized log10-pageviews",FALSE,C5.0,0.6156
"If you searched for '...', would this article be relevant?",survey-only,FALSE,C5.0,0.6597
"If you searched for '...', would this article be relevant?",survey & page info,FALSE,C5.0,0.6597
"If you searched for '...', would this article be relevant?",survey & traffic,FALSE,C5.0,0.6747
"If you searched for '...', would this article be relevant?","survey, page info, and traffic",FALSE,C5.0,0.6522
"If you searched for '...', would this article be relevant?","survey, page info, and traffic-by-weekday",FALSE,C5.0,0.6567
"If you searched for '...', would this article be relevant?","survey, page info, and traffic-by-platform",FALSE,C5.0,0.6867
"If you searched for '...', would this article be relevant?","survey, page info, traffic-by-weekday, and traffic-by-platform",FALSE,C5.0,0.7046
"If you searched for '...', would this article be relevant?","survey, page info, and traffic-by-platform-and-weekday",FALSE,C5.0,0.7136
"If you searched for '...', would this article be relevant?","survey, page info, pagesize, and pageviews",FALSE,C5.0,0.6567
"If you searched for '...', would this article be relevant?","survey, page info, log10-pagesize, and log10-pageviews",FALSE,C5.0,0.6927
"If you searched for '...', would this article be relevant?","survey, page info, standardized pagesize, and standardized pageviews",FALSE,C5.0,0.6567
"If you searched for '...', would this article be relevant?","survey, page info, normalized pagesize, and normalized pageviews",FALSE,C5.0,0.6342
"If you searched for '...', would this article be relevant?","survey, page info, standardized log10-pagesize, and standardized log10-pageviews",FALSE,C5.0,0.6927
"If you searched for '...', would this article be relevant?","survey, page info, normalized log10-pagesize, and normalized log10-pageviews",FALSE,C5.0,0.6927
Would you click on this page when searching for '...'?,survey-only,FALSE,C5.0,0.6276
Would you click on this page when searching for '...'?,survey & page info,FALSE,C5.0,0.5976
Would you click on this page when searching for '...'?,survey & traffic,FALSE,C5.0,0.6156
Would you click on this page when searching for '...'?,"survey, page info, and traffic",FALSE,C5.0,0.5856
Would you click on this page when searching for '...'?,"survey, page info, and traffic-by-weekday",FALSE,C5.0,0.5991
Would you click on this page when searching for '...'?,"survey, page info, and traffic-by-platform",FALSE,C5.0,0.6532
Would you click on this page when searching for '...'?,"survey, page info, traffic-by-weekday, and traffic-by-platform",FALSE,C5.0,0.6246
Would you click on this page when searching for '...'?,"survey, page info, and traffic-by-platform-and-weekday",FALSE,C5.0,0.6697
Would you click on this page when searching for '...'?,"survey, page info, pagesize, and pageviews",FALSE,C5.0,0.5616
Would you click on this page when searching for '...'?,"survey, page info, log10-pagesize, and log10-pageviews",FALSE,C5.0,0.6261
Would you click on this page when searching for '...'?,"survey, page info, standardized pagesize, and standardized pageviews",FALSE,C5.0,0.5616
Would you click on this page when searching for '...'?,"survey, page info, normalized pagesize, and normalized pageviews",FALSE,C5.0,0.5856
